Nombre,Informacion adicional,Enlace,Tipo de Experimento,"Detalles (Tipo de tarea (Pensar arriba, pensar mover pie, pensar mover mano), Electrodos - Que electrodos, Canales - numero de electrodos, Protocolo (Graz), tipo de sujetos)",Sampling frequency [Hz],Number of subjects,Experiment time,Size,Number of files,Readme (Y/N),Year,How to download,Author name,Contact
A large electroencephalographic motor imagery dataset for electroencephalographic brain computer interfaces,https://www.nature.com/articles/sdata2018211#ref-CR57,https://figshare.com/collections/A_large_electroencephalographic_motor_imagery_dataset_for_electroencephalographic_brain_computer_interfaces/3917698,EEG,,200,13,4.8 h,1.5 GB,75,N,2018,Open access,Yuriy Mishchenko,https://www.nature.com/articles/sdata2018211/email/correspondent/c1/new
Dryad Data -- Large-scale functional networks identified from resting-state EEG using spatial ICA,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0146845,https://datadryad.org/stash/dataset/doi:10.5061/dryad.v9f16,EEG,,5000,12,5 min,7.74 GB,2,N,2016,Open access,Denis Schwartz,Denis.Schwartz@upmc.fr
"GigaDB Dataset - DOI 10.5524/100660 - Supporting data for A multi-day and multi-band dataset for steady-state visual evoked potential-bas ...""",https://academic.oup.com/gigascience/article/8/11/giz133/5641733,http://gigadb.org/dataset/100660,EEG,,1000,30,2 h,10.31 GB,3,Y,2019,Open access,Han-Jeong Hwang,h2j@kumoh.ac.kr
OSF | Nap EEG,https://www.sciencedirect.com/science/article/pii/S2352340918304268?via%3Dihub,https://osf.io/chav7/,EEG,,1000,22,1 h,,109,Y,2018,Open access,Giovanni M. Di Liberto,diliberg@tcd.ie
Dataset of 24-subject EEG recordings during viewing of real-world objects and planar images of the same items,https://www.sciencedirect.com/science/article/pii/S2352340919302082?via%3Dihub,https://doi.gin.g-node.org/10.12751/g-node.bcccab/,EEG,,1000,24,,7.6 GB,,,2019,Open access,Francesco Marini,francesco.pd@gmail.com
HD-EEGtask(Dataset 1) - Snapshot 1.0.2 - OpenNeuro,https://www.nature.com/articles/s41597-021-00821-1,https://openneuro.org/datasets/ds003420/versions/1.0.2,EEG/MEG,,1000,23,,47.09 GB,875,Y,2021,Open access,A. Mheich,https://www.nature.com/articles/s41597-021-00821-1/email/correspondent/c1/new
OpenNeuro,https://www.nature.com/articles/s41597-021-00821-1,https://openneuro.org/datasets/ds003421/versions/1.0.2,EEG,,1000,23,28 min,39.58 GB,938,Y,2021,Open access,A. Mheich,https://www.nature.com/articles/s41597-021-00821-1/email/correspondent/c1/new
EEG: Continuous gameplay of an 8-bit style video game,https://www.sciencedirect.com/science/article/abs/pii/S1053811916001932?via%3Dihub,https://openneuro.org/datasets/ds003517/versions/1.1.0,EEG,,,,,5.83 GB,389,Y,2016,Open access,James F. Cavanagh,jcavanagh@unm.edu
"GigaDB Dataset - DOI 10.5524/100542 - Supporting data for EEG Dataset and OpenBMI Toolbox for Three BCI Paradigms: An Investigation into ...""",https://academic.oup.com/gigascience/article/8/5/giz002/5304369,http://gigadb.org/dataset/100542,EEG,,1000,54,13 s,211.56 GB,436,Y,2019,Open access,Seong-Whan Lee,sw.lee@korea.ac.kr
"OSF | Williams et al., 2020 - The ERP, Frequency, and Time-Frequency Correlates of Feedback Processing: Insights from a Large Sample Study",https://onlinelibrary.wiley.com/doi/10.1111/psyp.13722,https://osf.io/65x4v/,EEG/ERP,,,500,,,28,Y,2020,Open access,Chad C. Williams,ccwillia@uvic.ca
MPI-LEMON EEG Download Page,http://fcon_1000.projects.nitrc.org/indi/retro/MPI_LEMON.html,http://fcon_1000.projects.nitrc.org/indi/retro/MPI_LEMON/downloads/download_EEG.html,EEG,,,228,,,564,N,2015,Open access,Arno Villringer,villringer@cbs.mpg.de
2011-12 BCI at CSU | Brain-Computer Interfaces Laboratory,https://www.cs.colostate.edu/eeg/main/data/2011-12_BCI_at_CSU,https://www.cs.colostate.edu/eeg/main/data/2011-12_BCI_at_CSU,EEG,,256 - 1024,28,,1.57 GB,40,N,2012,Open access,Charles Anderson,eeg@cs.colostate.edu
EEG Data — Child Mind Institute - MIPDB documentation,https://www.nature.com/articles/sdata201740,https://fcon_1000.projects.nitrc.org/indi/cmi_eeg/eeg.html,EEG,,100,126,10 min,1.6 GB,126,Y,2017,Open access,Nicolas Langer,https://www.nature.com/articles/sdata201740/email/correspondent/c1/new
MindBigData the MNIST of Brain Digits,http://mindbigdata.com/opendb/imagenet.html,http://mindbigdata.com/opendb/imagenet.html,EEG,,128,1,3 s,870 MB,2,N,2018,Open access,David Vivancos,vivancos@vivancos.com
OSF | Classifying MEG high frequency activity,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005938,https://osf.io/m25n4/,EEG,,678.17,20,,,,Y,2018,Open access,Britta U. Westner,britta.wstnr@gmail.com
OpenNeuro,https://www.nature.com/articles/sdata20151,https://openneuro.org/datasets/ds000117/versions/1.0.0,EEG,,293 - 328,19,50 s,7.26 MB,18547,Y,2015,Open access,Richard N Henson,https://www.nature.com/articles/sdata20151/email/correspondent/c1/new
MHUG,http://mhug.disi.unitn.it/wp-content/DECAF/DECAF.html#/,http://mhug.disi.unitn.it/wp-content/DECAF/DECAF.html,,,,,,,,,,Open access,Nicu Sebe,niculae.sebe@unitn.it
Multicenter intracranial EEG dataset for classification of graphoelements and artifactual signals,https://www.nature.com/articles/s41597-020-0532-5,https://springernature.figshare.com/collections/Multicenter_intracranial_EEG_dataset_for_classification_of_graphoelements_and_artifactual_signals/4681208/1,EEG,,32000,,3 s,24.32 GB,7,Y,2020,Open access,Petr Nejedly,https://www.nature.com/articles/s41597-020-0532-5/email/correspondent/c1/new
"OSF | Data accompanying Stolk et al. 2019 Electrocorticographic dissociation of alpha and beta rhythmic activity in the human sensorimotor system"" eLife 2019;8:e48065""",https://elifesciences.org/articles/48065,https://osf.io/z4hfm/,ECoG,,512,11,10 min,,12,N,2019,Open access,Han-Jeong Hwang,h2j@kumoh.ac.kr
OSF | A NWB-based Dataset and Processing Pipeline of Human Single-Neuron Activity During a Declarative Memory Task,https://www.nature.com/articles/s41597-020-0415-9,https://osf.io/hv7ja/,MWB,,32000,59,,4 GB,3,Y,2020,Open access,U. Rutishauser,https://www.nature.com/articles/s41597-020-0415-9/email/correspondent/c1/new
USZ_NCH/Human_MTL_units_scalp_EEG_and_iEEG_verbal_WM - G-Node GIN,https://www.nature.com/articles/s41597-020-0364-3,https://gin.g-node.org/USZ_NCH/Human_MTL_units_scalp_EEG_and_iEEG_verbal_WM,EEG,,4000 - 32000,9,5 s,37.9 KB,43,Y,2020,Open access,Johannes Sarnthein,https://www.nature.com/articles/s41597-020-0364-3/email/correspondent/c1/new
G-Node Open Data: Dataset of neurons and intracranial EEG from human amygdala during aversive dynamic visual stimulation,https://www.nature.com/articles/s41597-020-00790-x,https://doi.gin.g-node.org/10.12751/g-node.270z59/,EEG,,4000 - 32000,9,26 s,130 MB,18,Y,2021,Open access,Johannes Sarnthein,https://www.nature.com/articles/s41597-020-00790-x/email/correspondent/c1/new
Data Sets â€” CRCNS.org,https://link.springer.com/article/10.1007/s12021-008-9009-y,https://crcns.org/data-sets/,EEG,,,,,,,,2008,Restricted access,Friedrich T. Sommer,https://link.springer.com/article/10.1007/s12021-008-9009-y/email/correspondent/c1/new
"Massively parallel recordings in macaque motor cortex during an instructed delayed reach-to-grasp task, Scientific Data, 5, 180055. - G-Node GIN",https://www.nature.com/articles/sdata201855,https://gin.g-node.org/INT/multielectrode_grasp,LFP,,30000,2 monkeys,17 min,10 MB,678,Y,2018,Open access,Thomas Brochier,https://www.nature.com/articles/sdata201855/email/correspondent/c1/new
Grasp-and-Lift EEG Detection,https://www.kaggle.com/c/grasp-and-lift-eeg-detection/data,https://www.kaggle.com/c/grasp-and-lift-eeg-detection/data,EEG,,500,12,,3.58 GB,217,Y,2014,Competitor access,Will Cukierski,https://www.kaggle.com/wcukierski/contact
high-gamma-dataset,https://github.com/robintibor/high-gamma-dataset,https://github.com/robintibor/high-gamma-dataset,EEG,,,14,,19.8 MB,59,Y,2017,Open access,Michael P. Milham,https://www.nature.com/articles/sdata2017181/email/correspondent/c2/new
Project BCI - EEG motor activity data set,https://sites.google.com/site/projectbci/,https://sites.google.com/site/projectbci/,EEG,,500,1,,13.5 MB,1,N,2008,Open access,,midhatali@gmail.com
Imagination of Right-hand Thumb Movement,https://archive.ics.uci.edu/ml/datasets/Planning+Relax,https://archive.ics.uci.edu/ml/datasets/Planning+Relax,EEG,,256,1,5 min,,,N,2012,Open access,Rajen Bhatt,rajen.bhatt@gmail.com
Data-EEG-25-users-Neuromarketing,https://drive.google.com/file/d/0B2T1rQUvyyWcSGVVaHZBZzRtTms/view,https://drive.google.com/file/d/0B2T1rQUvyyWcSGVVaHZBZzRtTms/view,EEG,,256,15,5 min,13 MB,2090,N,2016,Open access,XinruiLyu,https://github.com/XinruiLyu
SEED dataset - Stimuli and Experiment,http://bcmi.sjtu.edu.cn/~seed/seed.html,http://bcmi.sjtu.edu.cn/~seed/seed.html,EEG,,200,15,4 min,6.9 GB,45,N,2019,Open access,,lm_zhao@sjtu.edu.cn
SEED Dataset - Experiment Setup,http://bcmi.sjtu.edu.cn/~seed/seed-iv.html,http://bcmi.sjtu.edu.cn/~seed/seed-iv.html,EEG,,200,15,3 min,7.4 GB,,Y,2019,Open access,,lm_zhao@sjtu.edu.cn
Regulation of Arousal,https://ieee-dataport.org/open-access/regulation-arousal-online-neurofeedback-improves-human-performance-demanding-sensory,https://ieee-dataport.org/open-access/regulation-arousal-online-neurofeedback-improves-human-performance-demanding-sensory,EEG,,2048,,2.5 h,3.66 GB,96,Y,2019,IEEE access,Josef Faller,
BCI Challenge @ NER 2015,https://www.kaggle.com/c/inria-bci-challenge,https://www.kaggle.com/c/inria-bci-challenge,EEG,,200,26,Diverse,5.96 GB,5,N,2015,Open access,maucle,https://www.kaggle.com/maucle/contact
EEG Steady-State Visual Evoked Potential Signals Data Set,https://archive.ics.uci.edu/ml/datasets/EEG+Steady-State+Visual+Evoked+Potential+Signals#,http://www2.hu-berlin.de/eyetracking-eeg/testdata.html,EEG,,,30,,3.65 GB,151,N,2018,Open access,Marco Aceves,marco.aceves@gmail.com
Synchronized Brainwave Dataset,https://www.kaggle.com/berkeley-biosense/synchronized-brainwave-dataset,https://www.kaggle.com/berkeley-biosense/synchronized-brainwave-dataset,EEG,,,15,Diverse,101 MB,3,N,2020,Open access,,
Multi-channel EEG recordings during a sustained-attention driving task (raw dataset),https://www.nature.com/articles/s41597-019-0027-4#Sec12,https://figshare.com/articles/dataset/Multi-channel_EEG_recordings_during_a_sustained-attention_driving_task_preprocessed_dataset_/7666055/3,EEG,,500,27,180 min,,,,2019,,Figshare support,info@figshare.com
"Data and analyses for ""Spontaneous Decoding of the Timing and Content of Human Object Perception from Cortical Surface Recordings Reveals Complementary Information in the Event-Related Potential and Broadband Spectral Change"" | Stanford Digital Repository",https://purl.stanford.edu/xd109qh3109,https://purl.stanford.edu/xd109qh3109,ECoG,,1000,7,,291.64 MB,,Y,2015,Open access,"Miller, Kai J",kai.miller@stanford.edu
Building Brain Invaders: EEG data of an experimental validation | Zenodo,https://hal.archives-ouvertes.fr/hal-02126068,https://zenodo.org/record/2649069#.YGDgha9Kjcc,EEG,,128,25,4 min,676 MB,225,N,2021,Open access,"Cattan, Gregoire",gregoire.cattan@ibm.com
Brain Invaders Adaptive versus Non-Adaptive P300 Brain-Computer Interface dataset | Zenodo,https://hal.archives-ouvertes.fr/hal-02103098,https://zenodo.org/record/2669187#.YGDgia9Kjcc,P300,,128,24,4 min,677 MB,25,N,2019,Open access,"Cattan, Gregoire",gregoire.cattan@ibm.com
Brain Invaders calibration-less P300-based BCI using dry EEG electrodes Dataset (bi2014a) | Zenodo,https://zenodo.org/record/3266223#.YGDgiK9Kjcc,https://zenodo.org/record/3266223#.YGDgiK9Kjcc,EEG,,512,71,10 min,3.29 GB,66,N,2019,Open access,Zenodo support,https://zenodo.org/support
Brain Invaders Solo versus Collaboration: Multi-User P300-based Brain-Computer Interface Dataset (bi2014b) | Zenodo,https://zenodo.org/record/3267302#.YGDgi69Kjcc,https://zenodo.org/record/3267302#.YGDgi69Kjcc,P300,,512,38,5 min,4.0 GB,40,N,2019,Open access,Zenodo support,https://zenodo.org/support
Brain Invaders calibration-less P300-based BCI with modulation of flash duration Dataset (bi2015a) | Zenodo,https://zenodo.org/record/3266930#.YGDgjK9Kjcc,https://zenodo.org/record/3266930#.YGDgjK9Kjcc,P300,,512,50,10 min,8.4 GB,88,N,2019,Open access,Zenodo support,https://zenodo.org/support
Brain Invaders Cooperative versus Competitive: Multi-User P300-based Brain-Computer Interface Dataset (bi2015b) | Zenodo,https://zenodo.org/record/3268762#.YGDgjK9Kjcc,https://zenodo.org/record/3268762#.YGDgjK9Kjcc,P300,,512,44,10 min,13.5 GB,46,N,2019,Open access,Zenodo support,https://zenodo.org/support
Impedance_Data - Google Drive,https://static1.squarespace.com/static/5abefa62d274cb16de90e935/t/5ac6962a8a922d0b8b8be6a1/1522964012664/Kappenman+2010+Psychophys+Impedance.pdf,https://drive.google.com/drive/folders/0B3jfvN2T6iLMLWJMMVJMSXBqajg,EEG,,10,12,5 min,892 MB,13,Y,2010,Open access,,
Multi-channel EEG recordings during a sustained-attention driving task (raw dataset),https://www.nature.com/articles/s41597-019-0027-4#Sec12,https://figshare.com/articles/dataset/Multi-channel_EEG_recordings_during_a_sustained-attention_driving_task/6427334/5,EEG,,500,27,180 min,,,,2019,,Figshare support,info@figshare.com
"Dryad Data -- Electrophysiological correlates of semantic dissimilarity reflect the comprehension of natural, narrative speech",https://www.sciencedirect.com/science/article/pii/S0960982218301465,https://datadryad.org/stash/dataset/doi:10.5061/dryad.070jc,N400,,128,19,1 min,13.8 GB,5,N,2018,Open access,Michael P. Broderick,brodermi@tcd.ie
Cognitive Electrophysiology Lab Dataverse,https://www.frontiersin.org/articles/10.3389/fnins.2017.00425,https://dataverse.tdl.org/dataverse/txstatecogelectro,EEG,,256,22,8 min,,2311,Y,2017,Open access,,
MindID - Google Drive,https://arxiv.org/pdf/1711.06149.pdf,https://drive.google.com/drive/folders/1t6tL434ZOESb06ZvA4Bw1p9chzxzbRbj,EPOC,,128,8,54 s,13 MB,5,Y,2017,Open access,,
mastaneht/SPIS-Resting-State-Dataset,https://www.ncbi.nlm.nih.gov/pubmed/32167917,https://github.com/mastaneht/SPIS-Resting-State-Dataset,EEG,,2048,10,105 min,,24,Y,2020,Restricted access,Mastaneh Torkamani-Azar,mastaneh@sabanciuniv.edu
EEG Alpha Waves dataset | Zenodo,https://zenodo.org/record/2348892#.YGDglK9Kjcc,https://zenodo.org/record/2348892#.YGDglK9Kjcc,EEG,,512,20,10 s,105 MB,20,N,2018,Open access,Zenodo support,https://zenodo.org/support
sstober/openmiir: a public domain dataset of EEG recordings for music imagery information retrieval,http://moabb.neurotechx.com/docs/generated/moabb.datasets.Cho2017.html#moabb.datasets.Cho2017,https://github.com/sstober/openmiir,EEG,,512,10,1 min,175 MB,154,154,2015,Open access,S. Stober,stober@ovgu.de
EYE-EEG: Download test datasets,http://www2.hu-berlin.de/eyetracking-eeg/testdata.html,http://www2.hu-berlin.de/eyetracking-eeg/testdata.html,EEG/EOG,,500,1,16 s,20 MB,4,N,2013,Open access,,
EyeblinkDataset.zip - Google Drive,https://www.sciencedirect.com/science/article/pii/S0925231216001569,https://drive.google.com/file/d/0By5iwWd39NblS2tRWmVTdmRzZUU/view,EEG,,256,20,3 s,0.98 GB,2,N,2015,Open access,Suguru Kanoga,kanouga@mitsu.sd.keio.ac.jp
UCI Machine Learning Repository: EEG Eye State Data Set,https://archive.ics.uci.edu/ml/datasets/EEG+Eye+State,https://archive.ics.uci.edu/ml/datasets/EEG+Eye+State,EEG,,,,117 s,1.61 MB,1,N,2013,Open access,Oliver Roesler,it12148@lehre.dhbw-stuttgart.de
EEG Eye Blinks,https://proceedings.allerton.csl.illinois.edu/media/files/0174.pdf,http://gnan.ece.gatech.edu/eeg-eyeblinks/,EEG,,250,20,100 s,37 MB,,,,Login access,Mohit Agarwal,magarwal37@gatech.edu
A First Step towards Eye State Prediction Using EEG,http://suendermann.com/su/pdf/aihls2013.pdf,http://suendermann.com/corpus/EEG_Eyes.arff.gz,EEG,,,1,117 s,1.61 MB,1,N,2011,Open access,David Suendermann,david@suendermann.com
The KARA ONE database,http://www.cs.toronto.edu/~complingweb/data/karaOne/ZhaoRudzicz15.pdf,http://www.cs.toronto.edu/~complingweb/data/karaOne/karaOne.html,ECoG,,1000,14,40 min,30 GB,17,N,1999,Open access,Frank Rudzicz,frank@cs.toronto
MindBigData the MNIST of Brain Digits,http://mindbigdata.com/opendb/index.html,http://mindbigdata.com/opendb/index.html,EEG,,512,1,2 s,3.42 GB,4,N,2015,Open access,David Vivancos,vivancos@vivancos.com
"MindBigData ""IMAGENET"" of Brain Digits",http://www.mindbigdata.com/opendb/imagenet.html,http://www.mindbigdata.com/opendb/imagenet.html,EEG,,128,1,3 s,870 MB,2,N,2018,Open access,David Vivancos,vivancos@vivancos.com
EEGLearn/Sample data at master · pbashivan/EEGLearn,https://arxiv.org/pdf/1511.06448.pdf,https://github.com/pbashivan/EEGLearn/tree/master/Sample%20data,EEG,,500,15,500 ms,26 MB,4,Y,2016,Open access,Pouya Bashivan,pouya.bashivan@mcgill.ca
Challenge data,https://challengedata.ens.fr/challenges/10,https://challengedata.ens.fr/challenges/10,EEG,,125,1,10 s,2.4 GB,4,Y,2021,Competitor access,,https://challengedata.ens.fr/contact
